,nome,cpf,idade,data,endereco,estado
44,Maria Júlia Garcia,635.947.280-56,27,1998-08-23,"núcleo gomes, 49
são francisco das chagas
60534855 rios de goiás / pa",PARÁ
45,Enzo Gabriel Da Paz,762.895.104-01,50,1975-05-23,"condomínio arthur miguel cavalcante, 61
conjunto jatoba
59412-632 montenegro do galho / sp",RIO GRANDE DO NORTE
46,Sr. Matteo Da Mata,035.721.964-34,55,1969-11-01,"feira arthur gabriel sá, 7
barão homem de melo 3ª seção
38058393 porto / rr",SÃO PAULO
47,Maria Laura Da Rocha,710.638.429-13,50,1975-03-19,"favela bruno mendes, 325
vila petropolis
23332-686 correia / df",SÃO PAULO
48,Bernardo Vargas,427.931.068-87,55,1970-08-05,"pátio mendonça, 363
barão homem de melo 3ª seção
09096194 santos / pr",ACRE
49,Lucas Carvalho,927.146.530-06,57,1968-04-27,"alameda silva, 62
ademar maldonado
18137-516 pimenta / sc",PERNAMBUCO
50,Sr. Valentim Pimenta,145.389.027-05,33,1991-12-15,"pátio maria alice costa, 5
flamengo
58270-513 nascimento / to",AMAPÁ
51,João Miguel Moreira,180.259.673-95,34,1991-03-21,"distrito alice pimenta, 627
vila oeste
00047149 caldeira / se",PERNAMBUCO
52,Dra. Liz Pinto,956.834.201-05,18,2006-11-16,"chácara dante das neves
ernesto nascimento
16041-897 costela / rr",MATO GROSSO DO SUL
53,Cecília Mendes,015.423.869-42,41,1984-04-19,"fazenda freitas, 74
etelvina carneiro
41616-534 rios alegre / ap",TOCANTINS
54,Catarina Garcia,867.502.439-83,42,1982-12-17,"aeroporto de duarte, 51
gutierrez
71474499 gomes / mg",RONDÔNIA
55,Rhavi Nogueira,615.970.384-66,39,1986-06-16,"campo de câmara, 661
vila ouro minas
32943016 souza de marques / mt",DISTRITO FEDERAL
56,Bella Pimenta,037.586.912-30,56,1969-07-07,"passarela antônio cardoso, 8
granja werneck
11816138 câmara / mg",AMAZONAS
57,Juan Araújo,702.539.486-65,23,2002-06-02,"condomínio luna almeida, 1
vista alegre
84646-830 vieira / pr",ESPÍRITO SANTO
58,Julia Camargo,493.528.601-60,32,1993-05-07,"estação cavalcanti, 7
vila madre gertrudes 4ª seção
43713-180 correia / pr",DISTRITO FEDERAL
59,Gustavo Cavalcanti,724.810.956-85,23,2002-06-08,"quadra sales, 95
vila petropolis
71816362 câmara / pb",MATO GROSSO
60,Natália Da Rocha,687.142.950-67,37,1988-01-21,"distrito de ramos
granja werneck
20251535 vargas do amparo / ma",ESPÍRITO SANTO
61,Ana Câmara,403.725.819-60,30,1995-10-28,"residencial beatriz da mota, 47
buraco quente
91935072 lopes / pr",DISTRITO FEDERAL
62,Sra. Isis Carvalho,406.823.571-62,38,1987-10-11,"rodovia rodrigo almeida, 63
boa união 2ª seção
87633455 cassiano das flores / mg",DISTRITO FEDERAL
63,Pietro Dias,927.835.140-79,59,1965-12-31,"estação dante sales
jardim montanhês
56191764 barbosa do amparo / df",RIO GRANDE DO SUL
64,Bruno Rezende,053.674.829-29,19,2006-01-29,"viaduto de andrade, 71
nossa senhora da aparecida
86089172 sampaio do oeste / ms",ESPÍRITO SANTO
65,Nicolas Silva,230.685.419-05,55,1969-12-06,"praia da cunha, 11
goiania
00094231 da luz / ma",BAHIA
66,Henry Sales,857.342.601-26,25,2000-03-17,"largo lucas gabriel da mata, 92
união
35149-557 lima / ap",RIO GRANDE DO SUL
67,Ana Júlia Ferreira,391.845.762-19,23,2001-12-01,"estação igor das neves, 7
vila são gabriel jacui
10340-426 garcia / mt",RIO GRANDE DO NORTE
68,Cauê Sampaio,892.041.537-41,57,1967-12-06,"morro de souza
nova america
56742972 da conceição da mata / ap",SÃO PAULO
69,Alana Correia,341.869.270-22,41,1984-06-07,"jardim ayla albuquerque, 5
vila oeste
11171-056 mendes da mata / pr",BAHIA
70,Dra. Kamilly Costela,150.862.934-05,29,1995-12-01,"viaduto rios, 9
floramar
58940-062 barbosa / al",GOIÁS
71,Alexia Da Luz,463.518.079-48,19,2006-08-16,"parque moraes, 444
cruzeiro
23545282 sampaio / pe",MINAS GERAIS
72,Natália Rezende,976.458.032-74,46,1978-11-14,"pátio de da cruz, 900
mineirão
67856777 caldeira / rj",AMAZONAS
73,Ryan Da Paz,580.923.674-00,21,2004-09-20,"área de cassiano, 28
vila paraíso
95888406 moura / ac",MATO GROSSO DO SUL
74,Pedro Lucas Costela,275.186.094-01,34,1991-04-16,"pátio de peixoto, 87
nova vista
97854636 carvalho / ms",TOCANTINS
75,Ana Julia Andrade,852.790.314-88,18,2007-05-06,"via almeida, 491
vila jardim alvorada
53143-739 melo do galho / se",MATO GROSSO
76,Srta. Ana Carolina Sousa,930.654.782-00,41,1984-09-09,"favela manuela siqueira, 712
estrela do oriente
66498934 freitas / sp",PARANÁ
77,Ravi Lucca Porto,751.034.689-48,49,1976-07-14,"ladeira cirino, 7
senhor dos passos
14917-291 azevedo / ro",MATO GROSSO
78,Renan Santos,358.461.297-73,20,2005-10-05,"conjunto valentim monteiro
barro preto
88650721 campos dos dourados / ac",SÃO PAULO
79,Dr. Diego Campos,504.721.938-05,33,1992-08-29,"morro costa, 50
custodinha
27944916 abreu do sul / ap",PARANÁ
80,Yuri Pinto,981.073.526-02,39,1986-01-17,"ladeira sophie lopes, 30
bandeirantes
71121-914 dias / ma",AMAZONAS
81,Dra. Nicole Barbosa,941.365.287-28,34,1991-10-07,"lagoa azevedo, 78
são joão
02803861 melo / sp",MINAS GERAIS
82,Luna Nascimento,236.049.175-06,44,1981-03-14,"morro evelyn das neves, 759
novo aarão reis
21853979 nunes do norte / sc",ESPÍRITO SANTO
83,Sra. Daniela Moura,284.915.306-06,58,1967-01-05,"rodovia sousa, 6
piratininga
48322196 azevedo do amparo / pb",AMAZONAS
84,Heloisa Lopes,702.651.849-67,60,1965-04-18,"loteamento de caldeira
vila nova gameleira 1ª seção
58286-781 vasconcelos do sul / ms",PARÁ
85,Maria Fernanda Melo,408.926.317-40,18,2006-11-24,"recanto de martins, 583
tres marias
55100-577 araújo / go",PERNAMBUCO
86,Luiz Henrique Cavalcanti,107.259.634-25,39,1986-09-02,"aeroporto garcia, 74
savassi
28256-600 garcia do amparo / pe",RIO GRANDE DO SUL
87,Marcos Vinicius Rios,851.372.694-09,19,2006-01-30,"núcleo maria da luz, 53
santo agostinho
11650-377 albuquerque / ap",TOCANTINS
88,Anna Liz Sá,529.146.038-51,59,1966-03-08,"chácara da cruz, 89
minas caixa
63361-869 rocha do norte / ro",TOCANTINS
89,Caio Rezende,247.391.850-32,42,1983-09-15,"via de da cruz, 59
saudade
60081523 freitas / pr",ALAGOAS
90,Leonardo Oliveira,547.390.628-10,45,1980-03-05,"pátio da cunha
vila da luz
32067-853 nunes / ap",RONDÔNIA
91,Caroline Albuquerque,876.901.325-02,57,1968-05-05,"aeroporto de cassiano, 74
goiania
83590-228 rocha de cavalcante / rr",DISTRITO FEDERAL
92,Dr. Luiz Gustavo Sá,156.874.203-71,27,1998-06-08,"núcleo benicio oliveira, 14
capitão eduardo
89055379 martins / pb",CEARÁ
93,Luiz Henrique Almeida,024.836.915-60,53,1972-08-22,"lagoa de santos
santana do cafezal
85832821 rezende / rr",MINAS GERAIS
94,Sara Moraes,541.628.390-42,58,1967-03-03,"distrito ferreira, 802
chácara leonina
67624-467 da cruz de brito / rn",GOIÁS
95,Juan Rezende,495.820.736-83,28,1997-02-25,"via da conceição, 18
alta tensão 1ª seção
00293-258 porto do sul / pe",MINAS GERAIS
96,Ana Clara Melo,423.185.096-89,56,1968-12-26,"conjunto de siqueira, 83
salgado filho
40624-246 campos / ba",PARANÁ
97,Sr. Alexandre Nascimento,684.397.520-83,47,1978-02-18,"setor garcia, 48
vila união
38839443 moraes / ap",ALAGOAS
98,Sr. Bryan Ramos,925.736.014-80,18,2007-03-15,"núcleo da luz, 1
parque são pedro
11053432 borges / rs",RIO DE JANEIRO
99,Cecilia Jesus,578.193.406-57,59,1966-02-13,"vereda correia
boa união 2ª seção
56766461 rodrigues / pa",GOIÁS
100,Igor Correia,547.302.169-70,36,1989-01-07,"estrada de da mota, 29
itapoa
13392750 andrade / pe",RIO GRANDE DO SUL
101,Maria Cecília Da Costa,026.591.478-76,31,1994-08-05,"residencial anna liz sampaio, 59
pousada santo antonio
60281-731 siqueira / ap",DISTRITO FEDERAL
102,Thales Rocha,213.459.078-50,60,1965-09-09,"estação de nunes, 75
vila cemig
60054414 peixoto de goiás / pe",RIO GRANDE DO SUL
103,Ana Carolina Santos,324.896.175-91,52,1973-06-09,"conjunto augusto pimenta, 785
vila nova gameleira 1ª seção
26661199 rodrigues do norte / ac",ACRE
104,Bruna Novais,896.120.743-13,25,2000-05-20,"núcleo da costa, 947
pongelupe
81440-792 barros grande / pi",RIO GRANDE DO SUL
105,Gabrielly Montenegro,195.634.278-82,42,1982-11-08,"trevo natália dias, 17
boa união 1ª seção
09023-294 garcia / ma",AMAZONAS
106,Zoe Nogueira,743.218.509-32,50,1975-01-10,"estação correia, 76
vista alegre
45918-021 moraes do campo / pb",PARANÁ
107,Danilo Fogaça,496.517.823-82,32,1993-03-20,"vale nina marques
conjunto jardim filadélfia
55007-145 gonçalves do norte / pr",ACRE
108,Dr. Henrique Cardoso,640.312.579-61,48,1977-05-28,"esplanada de correia, 403
corumbiara
23717-240 costa grande / rj",ALAGOAS
109,Juliana Da Costa,357.981.240-88,20,2005-08-10,"setor ágatha duarte, 61
marilandia
80839092 mendes de vieira / pb",GOIÁS
110,Ana Vitória Sales,724.860.391-04,59,1966-09-03,"campo mendonça
vila atila de paiva
21965-274 albuquerque paulista / to",DISTRITO FEDERAL
111,Ana Carolina Das Neves,412.856.097-94,37,1988-07-11,"condomínio de cavalcante, 7
marçola
54210-760 barbosa de da cunha / mt",PARAÍBA
112,Maria Julia Nunes,682.134.790-50,49,1976-02-21,"esplanada melo, 336
são gonçalo
36050-278 guerra de cardoso / rn",AMAPÁ
113,Dra. Melina Ferreira,379.024.861-40,32,1993-02-02,"favela ester casa grande, 99
são gonçalo
18086-238 ramos alegre / mt",BAHIA
114,Srta. Larissa Ferreira,495.617.823-91,51,1974-04-20,"vereda barros, 60
varzea da palma
46505-245 novais de carvalho / df",PARÁ
115,Dra. Yasmin Abreu,720.683.549-00,27,1998-01-07,"chácara manuela siqueira, 3
conjunto califórnia ii
31558-170 azevedo / pe",AMAPÁ
116,Marina Gomes,780.954.612-02,40,1985-09-18,"favela de siqueira, 58
nova cachoeirinha
73353-554 cassiano das flores / sc",TOCANTINS
117,Sra. Olívia Costa,935.614.072-34,36,1989-03-17,"recanto de andrade
vila minaslandia
35036-426 da costa de brito / mt",RONDÔNIA
118,Sr. Gael Carvalho,436.051.782-35,36,1989-04-08,"sítio moraes, 82
antonio ribeiro de abreu 1ª seção
50878-115 silva / pr",PIAUÍ
119,José Vasconcelos,396.784.052-29,46,1979-09-12,"praia de gonçalves
vila boa vista
42120907 fernandes de fogaça / am",MATO GROSSO
120,Alexandre Fernandes,125.043.896-98,39,1986-09-24,"via de pereira, 95
confisco
55753704 fernandes / df",PIAUÍ
121,Ravi Fernandes,720.361.895-12,33,1992-06-08,"recanto joaquim abreu, 49
vila sumaré
51012-627 da rosa de sá / ba",MATO GROSSO
122,Apollo Teixeira,508.279.613-59,31,1994-03-08,"área esther azevedo, 47
vila jardim são josé
37741-828 alves de vargas / rr",PARAÍBA
123,Léo Rodrigues,694.831.502-05,27,1998-01-29,"loteamento luísa nunes, 52
venda nova
77644-336 rocha da prata / ac",AMAPÁ
124,Sra. Olivia Azevedo,159.803.647-57,31,1994-07-31,"estação vinicius almeida, 95
santa tereza
76598-539 porto / pe",CEARÁ
125,Bento Alves,748.219.605-67,38,1986-11-27,"fazenda de novais, 53
conjunto jardim filadélfia
77335362 cirino / pi",AMAZONAS
126,Léo Sousa,138.596.407-39,53,1972-03-19,"vale luiza fonseca, 2
alpes
34084-323 novaes de novaes / ma",SÃO PAULO
127,Emilly Carvalho,369.857.210-95,33,1991-12-10,"colônia da cunha, 19
dom silverio
83207555 pastor / pi",PARANÁ
128,Gael Henrique Rezende,042.976.831-13,32,1992-12-16,"morro cauê silva, 32
betânia
97472-656 da cruz / pi",AMAPÁ
129,Aylla Da Rosa,437.689.025-10,50,1975-04-30,"conjunto cirino, 731
teixeira dias
37800486 siqueira de goiás / al",RIO GRANDE DO SUL
130,Allana Cavalcanti,658.130.492-15,19,2006-05-10,"chácara de aragão, 1
penha
15821133 nunes do norte / ac",PIAUÍ
131,Evelyn Correia,842.537.901-60,54,1971-05-30,"setor de marques, 3
chácara leonina
36467-314 camargo / es",CEARÁ
132,Sra. Maria Sophia Viana,206.754.138-26,55,1970-08-26,"sítio de pinto, 3
santa tereza
41357652 pinto / rn",PIAUÍ
133,Mathias Castro,620.389.741-87,41,1984-07-22,"rua samuel novais, 66
pousada santo antonio
73244-909 castro / ro",ALAGOAS
134,Cauã Sousa,953.218.604-24,56,1969-03-12,"praia de sousa, 572
vila independencia 3ª seção
32728-555 oliveira do amparo / es",RONDÔNIA
135,Ágatha Siqueira,356.487.901-39,54,1971-05-13,"passarela da rosa, 82
cachoeirinha
09741-272 souza do galho / pe",RIO GRANDE DO NORTE
136,Maya Barbosa,083.259.174-23,49,1976-06-22,"viaduto de da cruz
havaí
62497-496 ramos / sp",BAHIA
137,Ana Vitória Moraes,465.197.230-61,59,1966-07-22,"vila de da conceição, 46
marieta 2ª seção
01920054 castro do oeste / pa",ESPÍRITO SANTO
138,Calebe Nascimento,289.134.570-32,60,1964-11-22,"recanto léo sousa, 54
vila cemig
39867491 rezende / mg",SANTA CATARINA
139,Joana Dias,580.291.347-97,27,1997-11-03,"largo de da mota, 98
araguaia
10676-434 melo da prata / ma",MATO GROSSO
140,Heloísa Machado,725.491.380-23,60,1964-11-21,"vila felipe rodrigues, 1
lorena
83912-514 fogaça do campo / pi",PARÁ
141,Yasmin Garcia,685.920.341-24,36,1988-12-26,"praça de fernandes, 448
são gabriel
82965871 cassiano / rr",ALAGOAS
142,Ana Sophia Almeida,586.421.790-58,49,1975-12-20,"trevo da luz, 346
novo santa cecilia
90071903 montenegro de da rosa / pb",AMAPÁ
143,Dr. Gabriel Novais,057.394.861-57,35,1989-12-02,"rodovia cassiano, 9
dom bosco
67286-594 ferreira do oeste / ba",AMAPÁ
144,Vinicius Da Mota,267.453.890-29,52,1972-11-23,"condomínio de souza, 3
conjunto capitão eduardo
84115-710 carvalho / pb",CEARÁ
145,Luísa Da Costa,167.205.943-70,25,2000-10-14,"residencial de silveira, 918
mangabeiras
66186124 melo paulista / es",CEARÁ
146,Maysa Vieira,520.718.943-32,37,1988-08-02,"estação ian ferreira, 97
camargos
01100697 da mota das flores / sc",SERGIPE
147,Davi Silveira,685.721.934-64,37,1988-04-02,"feira sampaio, 85
vila nova cachoeirinha 1ª seção
00603-880 campos paulista / al",MINAS GERAIS
148,Marina Siqueira,394.768.501-75,35,1990-01-13,"sítio de rodrigues, 844
novo aarão reis
81080-808 carvalho de minas / sp",RONDÔNIA
149,Theo Carvalho,879.652.431-64,39,1986-03-30,"setor de cardoso, 9
unidas
18453031 da luz / ba",RORAIMA
150,Luiz Otávio Aragão,789.324.605-74,36,1989-06-18,"jardim davi lucca pastor, 9
joão pinheiro
57773731 barbosa do oeste / pi",PIAUÍ
151,Sofia Santos,923.485.671-64,46,1979-09-23,"favela de pastor, 92
biquinhas
55205-369 cardoso dos dourados / al",RIO GRANDE DO NORTE
152,Anthony Gabriel Vargas,386.214.570-08,20,2005-01-26,"parque cavalcanti, 36
vila são geraldo
07695158 carvalho / mg",PARAÍBA
153,Mariah Peixoto,041.628.379-96,26,1999-04-27,"sítio luiz miguel da mata, 595
conjunto bonsucesso
67004200 da conceição / sp",RIO GRANDE DO SUL
154,Luiz Miguel Rodrigues,479.028.513-88,39,1985-12-31,"avenida moreira, 22
gameleira
36668-497 duarte de moura / ms",RORAIMA
155,Liz Mendes,149.583.672-09,54,1971-06-20,"viela stella caldeira, 142
aparecida
62675536 da mota / mt",PARÁ
156,Heitor Cunha,428.703.961-04,25,2000-02-29,"avenida de brito, 37
são salvador
34386078 farias de cirino / mg",PERNAMBUCO
157,Ana Beatriz Brito,295.180.647-76,48,1977-09-03,"trevo de aragão
conjunto novo dom bosco
29220-767 cirino / mt",SANTA CATARINA
158,Otávio Macedo,380.941.526-05,34,1991-08-16,"fazenda de machado, 32
flamengo
36634-488 gonçalves / go",PARAÍBA
159,Enrico Dias,762.548.931-00,34,1990-12-27,"travessa sophie mendonça, 360
são marcos
23102-781 da conceição / am",RIO GRANDE DO NORTE
160,Maria Júlia Pastor,816.234.795-09,23,2002-07-08,"avenida josé miguel albuquerque, 5
horto florestal
66235-856 cirino de goiás / pi",MARANHÃO
161,Luiz Henrique Da Rosa,796.541.203-99,59,1965-11-24,"jardim novaes, 36
conjunto jardim filadélfia
45113-286 mendonça / pb",RONDÔNIA
162,Caleb Carvalho,732.095.684-56,34,1991-02-16,"conjunto pedro lucas santos, 79
caiçara - adelaide
79516-169 ramos de moraes / pe",MARANHÃO
163,Ryan Vasconcelos,153.204.897-14,53,1972-07-08,"estrada aragão, 973
alta tensão 2ª seção
59490578 siqueira / ap",PARANÁ
164,Clarice Nogueira,792.061.348-50,24,2001-07-22,"praça silva, 38
vila maloca
16931586 viana verde / pe",SANTA CATARINA
165,Dr. Benicio Pinto,374.068.921-87,18,2007-05-14,"praia sampaio, 848
vila antena
00928-759 leão / sp",SERGIPE
166,Maria Cecília Garcia,982.035.647-47,31,1994-10-19,"estação heloisa abreu, 26
vila aeroporto jaraguá
53188-722 rios / am",TOCANTINS
167,Heloísa Lopes,215.789.306-77,53,1972-08-08,"conjunto léo moreira, 979
vila engenho nogueira
40712-188 monteiro do norte / pi",AMAPÁ
168,Valentim Farias,086.391.425-05,27,1998-01-28,"trevo de pacheco, 996
granja de freitas
39352-259 lopes paulista / al",PARANÁ
169,Igor Da Mata,431.875.206-26,44,1981-07-29,"quadra helena da mota, 13
são damião
73968-978 nogueira / to",RIO DE JANEIRO
170,Kevin Ramos,769.834.510-66,47,1978-03-20,"alameda cardoso, 47
alípio de melo
62795541 silveira / rs",RONDÔNIA
171,Luan Cunha,914.056.382-06,26,1999-04-16,"vale abreu, 50
vale do jatoba
68113-700 rocha / ro",SERGIPE
172,Maria Isis Duarte,347.021.685-17,47,1977-12-07,"chácara de da cunha, 260
cdi jatoba
19989778 lopes / al",GOIÁS
173,Ana Julia Sá,637.082.491-78,38,1987-02-01,"residencial de brito
grota
91343-790 sampaio / rn",AMAZONAS
174,Alana Sampaio,130.284.795-32,29,1996-04-10,"sítio de cunha, 17
vila nova gameleira 2ª seção
76773-201 sales / ba",PARAÍBA
175,Eduardo Brito,420.173.856-62,46,1979-02-23,"trevo gonçalves
mariquinhas
35203278 da rocha / al",ACRE
176,Srta. Isabella Aragão,493.167.580-84,18,2007-04-19,"loteamento júlia caldeira, 233
goiania
40213-231 pinto do sul / sp",PIAUÍ
177,Cauã Correia,432.167.805-62,51,1974-02-19,"distrito sofia barbosa, 344
betânia
92845326 machado de minas / df",BAHIA
178,Marcelo Da Cunha,794.562.830-38,56,1969-07-18,"lagoa vieira, 74
biquinhas
24219458 marques de oliveira / mt",PARÁ
179,Ian Costela,016.583.497-84,57,1968-01-30,"fazenda barros, 90
planalto
62689-298 martins / sp",SERGIPE
180,Theo Cavalcanti,318.706.459-01,55,1970-07-02,"jardim catarina leão, 85
horto
17516-274 brito / pe",TOCANTINS
181,Otto Martins,081.957.423-60,20,2005-05-08,"vale ryan borges, 89
vila são dimas
97073317 castro de vieira / ap",SERGIPE
182,Lorenzo Cavalcante,856.793.012-02,46,1979-10-23,"residencial bruna leão
satelite
97684-110 cunha / rj",MATO GROSSO DO SUL
183,Pietra Silveira,068.312.547-80,22,2003-05-22,"estação lima
são salvador
72390120 brito do galho / sc",ESPÍRITO SANTO
184,Asafe Da Cruz,621.387.549-28,21,2004-07-02,"vale fogaça, 75
das industrias i
03354-166 cavalcanti / rn",MARANHÃO
185,Lívia Viana,739.804.625-10,27,1998-06-17,"aeroporto de machado, 14
nova cintra
96122392 cirino da serra / se",PARÁ
186,Melina Sales,205.346.198-51,34,1990-11-23,"colônia julia correia, 46
vila nova gameleira 2ª seção
27650-831 costela de da costa / pi",CEARÁ
187,Dr. João Lucas Araújo,168.739.240-40,43,1981-11-26,"chácara lorena nascimento, 58
petropolis
47550351 costa do sul / ba",TOCANTINS
188,Dr. Dom Rocha,391.285.470-04,26,1999-07-01,"ladeira siqueira, 29
fazendinha
90421077 oliveira / sc",CEARÁ
189,Nicole Guerra,208.719.364-96,52,1972-12-30,"viaduto de andrade, 44
vila dos anjos
13782-907 siqueira de freitas / df",PERNAMBUCO
190,Arthur Da Cruz,593.172.864-37,27,1998-08-15,"aeroporto de porto, 82
cônego pinheiro 2ª seção
18738-501 da luz / am",MATO GROSSO DO SUL
191,Carlos Eduardo Moraes,946.370.825-10,30,1995-04-26,"via de correia, 636
vila são paulo
87046-168 da paz / se",ESPÍRITO SANTO
192,Arthur Gabriel Vieira,487.593.021-60,42,1983-06-23,"vila andré ribeiro
bela vitoria
45632158 silva do norte / df",RIO GRANDE DO NORTE
193,Pietra Cassiano,839.250.614-60,24,2001-05-18,"avenida de peixoto, 18
são josé
30717097 moraes / es",PARÁ
194,Henry Correia,894.751.063-75,36,1989-02-07,"viaduto de da costa, 49
cardoso
23728-127 gomes / ap",GOIÁS
