,nome,cpf,idade,data,endereco,estado,pais
38,Luiz Henrique Moreira,950.872.146-49,54,27/12/1970,"Morro da Rosa
Pongelupe
46043926 da Luz / PR",Paraíba,Brasil
39,Stella Moraes,569.412.087-67,55,08/07/1970,"Viela Marques, 97
Ventosa
55552-138 Silveira do Amparo / SP",Espírito Santo,Brasil
40,Rael Cirino,134.865.297-73,52,24/01/1973,"Conjunto Gonçalves, 52
Liberdade
42938-309 Mendonça da Praia / AL",Goiás,Brasil
41,Theo Pires,830.615.472-07,27,08/09/1998,"Recanto Santos, 65
Luxemburgo
45409-438 Sá / RJ",Paraná,Brasil
42,Liam Cunha,375.402.986-00,51,02/03/1974,"Rodovia de Pereira, 68
Bela Vitoria
23976235 da Rocha das Flores / BA",Piauí,Brasil
43,Dr. Leonardo Araújo,385.469.021-51,32,06/03/1993,"Via de da Costa, 16
Monsenhor Messias
04822-836 da Rosa / BA",Rio Grande do Norte,Brasil
44,Bernardo Lima,179.546.302-34,48,13/11/1976,"Pátio Cavalcanti
Flavio Marques Lisboa
06676-537 Ferreira das Pedras / CE",Bahia,Brasil
45,Maria Júlia Garcia,635.947.280-56,27,23/08/1998,"Núcleo Gomes, 49
São Francisco Das Chagas
60534855 Rios de Goiás / PA",Pará,Brasil
46,Enzo Gabriel da Paz,762.895.104-01,50,23/05/1975,"Condomínio Arthur Miguel Cavalcante, 61
Conjunto Jatoba
59412-632 Montenegro do Galho / SP",Rio Grande do Norte,Brasil
47,Sr. Matteo da Mata,035.721.964-34,55,01/11/1969,"Feira Arthur Gabriel Sá, 7
Barão Homem De Melo 3ª Seção
38058393 Porto / RR",São Paulo,Brasil
48,Maria Laura da Rocha,710.638.429-13,50,19/03/1975,"Favela Bruno Mendes, 325
Vila Petropolis
23332-686 Correia / DF",São Paulo,Brasil
49,Bernardo Vargas,427.931.068-87,55,05/08/1970,"Pátio Mendonça, 363
Barão Homem De Melo 3ª Seção
09096194 Santos / PR",Acre,Brasil
50,Lucas Carvalho,927.146.530-06,57,27/04/1968,"Alameda Silva, 62
Ademar Maldonado
18137-516 Pimenta / SC",Pernambuco,Brasil
51,Sr. Valentim Pimenta,145.389.027-05,33,15/12/1991,"Pátio Maria Alice Costa, 5
Flamengo
58270-513 Nascimento / TO",Amapá,Brasil
52,João Miguel Moreira,180.259.673-95,34,21/03/1991,"Distrito Alice Pimenta, 627
Vila Oeste
00047149 Caldeira / SE",Pernambuco,Brasil
53,Dra. Liz Pinto,956.834.201-05,18,16/11/2006,"Chácara Dante das Neves
Ernesto Nascimento
16041-897 Costela / RR",Mato Grosso do Sul,Brasil
54,Cecília Mendes,015.423.869-42,41,19/04/1984,"Fazenda Freitas, 74
Etelvina Carneiro
41616-534 Rios Alegre / AP",Tocantins,Brasil
55,Catarina Garcia,867.502.439-83,42,17/12/1982,"Aeroporto de Duarte, 51
Gutierrez
71474499 Gomes / MG",Rondônia,Brasil
56,Rhavi Nogueira,615.970.384-66,39,16/06/1986,"Campo de Câmara, 661
Vila Ouro Minas
32943016 Souza de Marques / MT",Distrito Federal,Brasil
57,Bella Pimenta,037.586.912-30,56,07/07/1969,"Passarela Antônio Cardoso, 8
Granja Werneck
11816138 Câmara / MG",Amazonas,Brasil
58,Juan Araújo,702.539.486-65,23,02/06/2002,"Condomínio Luna Almeida, 1
Vista Alegre
84646-830 Vieira / PR",Espírito Santo,Brasil
59,Julia Camargo,493.528.601-60,32,07/05/1993,"Estação Cavalcanti, 7
Vila Madre Gertrudes 4ª Seção
43713-180 Correia / PR",Distrito Federal,Brasil
60,Gustavo Cavalcanti,724.810.956-85,23,08/06/2002,"Quadra Sales, 95
Vila Petropolis
71816362 Câmara / PB",Mato Grosso,Brasil
61,Natália da Rocha,687.142.950-67,37,21/01/1988,"Distrito de Ramos
Granja Werneck
20251535 Vargas do Amparo / MA",Espírito Santo,Brasil
62,Ana Câmara,403.725.819-60,30,28/10/1995,"Residencial Beatriz da Mota, 47
Buraco Quente
91935072 Lopes / PR",Distrito Federal,Brasil
63,Sra. Isis Carvalho,406.823.571-62,38,11/10/1987,"Rodovia Rodrigo Almeida, 63
Boa União 2ª Seção
87633455 Cassiano das Flores / MG",Distrito Federal,Brasil
64,Pietro Dias,927.835.140-79,59,31/12/1965,"Estação Dante Sales
Jardim Montanhês
56191764 Barbosa do Amparo / DF",Rio Grande do Sul,Brasil
65,Bruno Rezende,053.674.829-29,19,29/01/2006,"Viaduto de Andrade, 71
Nossa Senhora Da Aparecida
86089172 Sampaio do Oeste / MS",Espírito Santo,Brasil
66,Nicolas Silva,230.685.419-05,55,06/12/1969,"Praia da Cunha, 11
Goiania
00094231 da Luz / MA",Bahia,Brasil
67,Henry Sales,857.342.601-26,25,17/03/2000,"Largo Lucas Gabriel da Mata, 92
União
35149-557 Lima / AP",Rio Grande do Sul,Brasil
68,Ana Júlia Ferreira,391.845.762-19,23,01/12/2001,"Estação Igor das Neves, 7
Vila São Gabriel Jacui
10340-426 Garcia / MT",Rio Grande do Norte,Brasil
69,Cauê Sampaio,892.041.537-41,57,06/12/1967,"Morro de Souza
Nova America
56742972 da Conceição da Mata / AP",São Paulo,Brasil
70,Alana Correia,341.869.270-22,41,07/06/1984,"Jardim Ayla Albuquerque, 5
Vila Oeste
11171-056 Mendes da Mata / PR",Bahia,Brasil
71,Dra. Kamilly Costela,150.862.934-05,29,01/12/1995,"Viaduto Rios, 9
Floramar
58940-062 Barbosa / AL",Goiás,Brasil
72,Alexia da Luz,463.518.079-48,19,16/08/2006,"Parque Moraes, 444
Cruzeiro
23545282 Sampaio / PE",Minas Gerais,Brasil
73,Natália Rezende,976.458.032-74,46,14/11/1978,"Pátio de da Cruz, 900
Mineirão
67856777 Caldeira / RJ",Amazonas,Brasil
74,Ryan da Paz,580.923.674-00,21,20/09/2004,"Área de Cassiano, 28
Vila Paraíso
95888406 Moura / AC",Mato Grosso do Sul,Brasil
75,Pedro Lucas Costela,275.186.094-01,34,16/04/1991,"Pátio de Peixoto, 87
Nova Vista
97854636 Carvalho / MS",Tocantins,Brasil
76,Ana Julia Andrade,852.790.314-88,18,06/05/2007,"Via Almeida, 491
Vila Jardim Alvorada
53143-739 Melo do Galho / SE",Mato Grosso,Brasil
77,Srta. Ana Carolina Sousa,930.654.782-00,41,09/09/1984,"Favela Manuela Siqueira, 712
Estrela Do Oriente
66498934 Freitas / SP",Paraná,Brasil
78,Ravi Lucca Porto,751.034.689-48,49,14/07/1976,"Ladeira Cirino, 7
Senhor Dos Passos
14917-291 Azevedo / RO",Mato Grosso,Brasil
79,Renan Santos,358.461.297-73,20,05/10/2005,"Conjunto Valentim Monteiro
Barro Preto
88650721 Campos dos Dourados / AC",São Paulo,Brasil
80,Dr. Diego Campos,504.721.938-05,33,29/08/1992,"Morro Costa, 50
Custodinha
27944916 Abreu do Sul / AP",Paraná,Brasil
81,Yuri Pinto,981.073.526-02,39,17/01/1986,"Ladeira Sophie Lopes, 30
Bandeirantes
71121-914 Dias / MA",Amazonas,Brasil
82,Dra. Nicole Barbosa,941.365.287-28,34,07/10/1991,"Lagoa Azevedo, 78
São João
02803861 Melo / SP",Minas Gerais,Brasil
83,Luna Nascimento,236.049.175-06,44,14/03/1981,"Morro Evelyn das Neves, 759
Novo Aarão Reis
21853979 Nunes do Norte / SC",Espírito Santo,Brasil
84,Sra. Daniela Moura,284.915.306-06,58,05/01/1967,"Rodovia Sousa, 6
Piratininga
48322196 Azevedo do Amparo / PB",Amazonas,Brasil
85,Heloisa Lopes,702.651.849-67,60,18/04/1965,"Loteamento de Caldeira
Vila Nova Gameleira 1ª Seção
58286-781 Vasconcelos do Sul / MS",Pará,Brasil
86,Maria Fernanda Melo,408.926.317-40,18,24/11/2006,"Recanto de Martins, 583
Tres Marias
55100-577 Araújo / GO",Pernambuco,Brasil
87,Luiz Henrique Cavalcanti,107.259.634-25,39,02/09/1986,"Aeroporto Garcia, 74
Savassi
28256-600 Garcia do Amparo / PE",Rio Grande do Sul,Brasil
88,Marcos Vinicius Rios,851.372.694-09,19,30/01/2006,"Núcleo Maria da Luz, 53
Santo Agostinho
11650-377 Albuquerque / AP",Tocantins,Brasil
89,Anna Liz Sá,529.146.038-51,59,08/03/1966,"Chácara da Cruz, 89
Minas Caixa
63361-869 Rocha do Norte / RO",Tocantins,Brasil
90,Caio Rezende,247.391.850-32,42,15/09/1983,"Via de da Cruz, 59
Saudade
60081523 Freitas / PR",Alagoas,Brasil
91,Leonardo Oliveira,547.390.628-10,45,05/03/1980,"Pátio da Cunha
Vila Da Luz
32067-853 Nunes / AP",Rondônia,Brasil
92,Caroline Albuquerque,876.901.325-02,57,05/05/1968,"Aeroporto de Cassiano, 74
Goiania
83590-228 Rocha de Cavalcante / RR",Distrito Federal,Brasil
93,Dr. Luiz Gustavo Sá,156.874.203-71,27,08/06/1998,"Núcleo Benicio Oliveira, 14
Capitão Eduardo
89055379 Martins / PB",Ceará,Brasil
94,Luiz Henrique Almeida,024.836.915-60,53,22/08/1972,"Lagoa de Santos
Santana Do Cafezal
85832821 Rezende / RR",Minas Gerais,Brasil
95,Sara Moraes,541.628.390-42,58,03/03/1967,"Distrito Ferreira, 802
Chácara Leonina
67624-467 da Cruz de Brito / RN",Goiás,Brasil
96,Juan Rezende,495.820.736-83,28,25/02/1997,"Via da Conceição, 18
Alta Tensão 1ª Seção
00293-258 Porto do Sul / PE",Minas Gerais,Brasil
97,Ana Clara Melo,423.185.096-89,56,26/12/1968,"Conjunto de Siqueira, 83
Salgado Filho
40624-246 Campos / BA",Paraná,Brasil
98,Sr. Alexandre Nascimento,684.397.520-83,47,18/02/1978,"Setor Garcia, 48
Vila União
38839443 Moraes / AP",Alagoas,Brasil
99,Sr. Bryan Ramos,925.736.014-80,18,15/03/2007,"Núcleo da Luz, 1
Parque São Pedro
11053432 Borges / RS",Rio de Janeiro,Brasil
100,Cecilia Jesus,578.193.406-57,59,13/02/1966,"Vereda Correia
Boa União 2ª Seção
56766461 Rodrigues / PA",Goiás,Brasil
101,Igor Correia,547.302.169-70,36,07/01/1989,"Estrada de da Mota, 29
Itapoa
13392750 Andrade / PE",Rio Grande do Sul,Brasil
102,Maria Cecília da Costa,026.591.478-76,31,05/08/1994,"Residencial Anna Liz Sampaio, 59
Pousada Santo Antonio
60281-731 Siqueira / AP",Distrito Federal,Brasil
103,Thales Rocha,213.459.078-50,60,09/09/1965,"Estação de Nunes, 75
Vila Cemig
60054414 Peixoto de Goiás / PE",Rio Grande do Sul,Brasil
104,Ana Carolina Santos,324.896.175-91,52,09/06/1973,"Conjunto Augusto Pimenta, 785
Vila Nova Gameleira 1ª Seção
26661199 Rodrigues do Norte / AC",Acre,Brasil
105,Bruna Novais,896.120.743-13,25,20/05/2000,"Núcleo da Costa, 947
Pongelupe
81440-792 Barros Grande / PI",Rio Grande do Sul,Brasil
106,Gabrielly Montenegro,195.634.278-82,42,08/11/1982,"Trevo Natália Dias, 17
Boa União 1ª Seção
09023-294 Garcia / MA",Amazonas,Brasil
107,Zoe Nogueira,743.218.509-32,50,10/01/1975,"Estação Correia, 76
Vista Alegre
45918-021 Moraes do Campo / PB",Paraná,Brasil
108,Danilo Fogaça,496.517.823-82,32,20/03/1993,"Vale Nina Marques
Conjunto Jardim Filadélfia
55007-145 Gonçalves do Norte / PR",Acre,Brasil
109,Dr. Henrique Cardoso,640.312.579-61,48,28/05/1977,"Esplanada de Correia, 403
Corumbiara
23717-240 Costa Grande / RJ",Alagoas,Brasil
110,Juliana da Costa,357.981.240-88,20,10/08/2005,"Setor Ágatha Duarte, 61
Marilandia
80839092 Mendes de Vieira / PB",Goiás,Brasil
111,Ana Vitória Sales,724.860.391-04,59,03/09/1966,"Campo Mendonça
Vila Atila De Paiva
21965-274 Albuquerque Paulista / TO",Distrito Federal,Brasil
112,Ana Carolina das Neves,412.856.097-94,37,11/07/1988,"Condomínio de Cavalcante, 7
Marçola
54210-760 Barbosa de da Cunha / MT",Paraíba,Brasil
113,Maria Julia Nunes,682.134.790-50,49,21/02/1976,"Esplanada Melo, 336
São Gonçalo
36050-278 Guerra de Cardoso / RN",Amapá,Brasil
114,Dra. Melina Ferreira,379.024.861-40,32,02/02/1993,"Favela Ester Casa Grande, 99
São Gonçalo
18086-238 Ramos Alegre / MT",Bahia,Brasil
115,Srta. Larissa Ferreira,495.617.823-91,51,20/04/1974,"Vereda Barros, 60
Varzea Da Palma
46505-245 Novais de Carvalho / DF",Pará,Brasil
116,Dra. Yasmin Abreu,720.683.549-00,27,07/01/1998,"Chácara Manuela Siqueira, 3
Conjunto Califórnia Ii
31558-170 Azevedo / PE",Amapá,Brasil
117,Marina Gomes,780.954.612-02,40,18/09/1985,"Favela de Siqueira, 58
Nova Cachoeirinha
73353-554 Cassiano das Flores / SC",Tocantins,Brasil
118,Sra. Olívia Costa,935.614.072-34,36,17/03/1989,"Recanto de Andrade
Vila Minaslandia
35036-426 da Costa de Brito / MT",Rondônia,Brasil
119,Sr. Gael Carvalho,436.051.782-35,36,08/04/1989,"Sítio Moraes, 82
Antonio Ribeiro De Abreu 1ª Seção
50878-115 Silva / PR",Piauí,Brasil
120,José Vasconcelos,396.784.052-29,46,12/09/1979,"Praia de Gonçalves
Vila Boa Vista
42120907 Fernandes de Fogaça / AM",Mato Grosso,Brasil
121,Alexandre Fernandes,125.043.896-98,39,24/09/1986,"Via de Pereira, 95
Confisco
55753704 Fernandes / DF",Piauí,Brasil
122,Ravi Fernandes,720.361.895-12,33,08/06/1992,"Recanto Joaquim Abreu, 49
Vila Sumaré
51012-627 da Rosa de Sá / BA",Mato Grosso,Brasil
123,Apollo Teixeira,508.279.613-59,31,08/03/1994,"Área Esther Azevedo, 47
Vila Jardim São José
37741-828 Alves de Vargas / RR",Paraíba,Brasil
124,Léo Rodrigues,694.831.502-05,27,29/01/1998,"Loteamento Luísa Nunes, 52
Venda Nova
77644-336 Rocha da Prata / AC",Amapá,Brasil
125,Sra. Olivia Azevedo,159.803.647-57,31,31/07/1994,"Estação Vinicius Almeida, 95
Santa Tereza
76598-539 Porto / PE",Ceará,Brasil
126,Bento Alves,748.219.605-67,38,27/11/1986,"Fazenda de Novais, 53
Conjunto Jardim Filadélfia
77335362 Cirino / PI",Amazonas,Brasil
127,Léo Sousa,138.596.407-39,53,19/03/1972,"Vale Luiza Fonseca, 2
Alpes
34084-323 Novaes de Novaes / MA",São Paulo,Brasil
128,Emilly Carvalho,369.857.210-95,33,10/12/1991,"Colônia da Cunha, 19
Dom Silverio
83207555 Pastor / PI",Paraná,Brasil
129,Gael Henrique Rezende,042.976.831-13,32,16/12/1992,"Morro Cauê Silva, 32
Betânia
97472-656 da Cruz / PI",Amapá,Brasil
130,Aylla da Rosa,437.689.025-10,50,30/04/1975,"Conjunto Cirino, 731
Teixeira Dias
37800486 Siqueira de Goiás / AL",Rio Grande do Sul,Brasil
131,Allana Cavalcanti,658.130.492-15,19,10/05/2006,"Chácara de Aragão, 1
Penha
15821133 Nunes do Norte / AC",Piauí,Brasil
132,Evelyn Correia,842.537.901-60,54,30/05/1971,"Setor de Marques, 3
Chácara Leonina
36467-314 Camargo / ES",Ceará,Brasil
133,Sra. Maria Sophia Viana,206.754.138-26,55,26/08/1970,"Sítio de Pinto, 3
Santa Tereza
41357652 Pinto / RN",Piauí,Brasil
134,Mathias Castro,620.389.741-87,41,22/07/1984,"Rua Samuel Novais, 66
Pousada Santo Antonio
73244-909 Castro / RO",Alagoas,Brasil
135,Cauã Sousa,953.218.604-24,56,12/03/1969,"Praia de Sousa, 572
Vila Independencia 3ª Seção
32728-555 Oliveira do Amparo / ES",Rondônia,Brasil
136,Ágatha Siqueira,356.487.901-39,54,13/05/1971,"Passarela da Rosa, 82
Cachoeirinha
09741-272 Souza do Galho / PE",Rio Grande do Norte,Brasil
137,Maya Barbosa,083.259.174-23,49,22/06/1976,"Viaduto de da Cruz
Havaí
62497-496 Ramos / SP",Bahia,Brasil
138,Ana Vitória Moraes,465.197.230-61,59,22/07/1966,"Vila de da Conceição, 46
Marieta 2ª Seção
01920054 Castro do Oeste / PA",Espírito Santo,Brasil
139,Calebe Nascimento,289.134.570-32,60,22/11/1964,"Recanto Léo Sousa, 54
Vila Cemig
39867491 Rezende / MG",Santa Catarina,Brasil
140,Joana Dias,580.291.347-97,27,03/11/1997,"Largo de da Mota, 98
Araguaia
10676-434 Melo da Prata / MA",Mato Grosso,Brasil
141,Heloísa Machado,725.491.380-23,60,21/11/1964,"Vila Felipe Rodrigues, 1
Lorena
83912-514 Fogaça do Campo / PI",Pará,Brasil
142,Yasmin Garcia,685.920.341-24,36,26/12/1988,"Praça de Fernandes, 448
São Gabriel
82965871 Cassiano / RR",Alagoas,Brasil
143,Ana Sophia Almeida,586.421.790-58,49,20/12/1975,"Trevo da Luz, 346
Novo Santa Cecilia
90071903 Montenegro de da Rosa / PB",Amapá,Brasil
144,Dr. Gabriel Novais,057.394.861-57,35,02/12/1989,"Rodovia Cassiano, 9
Dom Bosco
67286-594 Ferreira do Oeste / BA",Amapá,Brasil
145,Vinicius da Mota,267.453.890-29,52,23/11/1972,"Condomínio de Souza, 3
Conjunto Capitão Eduardo
84115-710 Carvalho / PB",Ceará,Brasil
146,Luísa da Costa,167.205.943-70,25,14/10/2000,"Residencial de Silveira, 918
Mangabeiras
66186124 Melo Paulista / ES",Ceará,Brasil
147,Maysa Vieira,520.718.943-32,37,02/08/1988,"Estação Ian Ferreira, 97
Camargos
01100697 da Mota das Flores / SC",Sergipe,Brasil
148,Davi Silveira,685.721.934-64,37,02/04/1988,"Feira Sampaio, 85
Vila Nova Cachoeirinha 1ª Seção
00603-880 Campos Paulista / AL",Minas Gerais,Brasil
149,Marina Siqueira,394.768.501-75,35,13/01/1990,"Sítio de Rodrigues, 844
Novo Aarão Reis
81080-808 Carvalho de Minas / SP",Rondônia,Brasil
150,Theo Carvalho,879.652.431-64,39,30/03/1986,"Setor de Cardoso, 9
Unidas
18453031 da Luz / BA",Roraima,Brasil
151,Luiz Otávio Aragão,789.324.605-74,36,18/06/1989,"Jardim Davi Lucca Pastor, 9
João Pinheiro
57773731 Barbosa do Oeste / PI",Piauí,Brasil
152,Sofia Santos,923.485.671-64,46,23/09/1979,"Favela de Pastor, 92
Biquinhas
55205-369 Cardoso dos Dourados / AL",Rio Grande do Norte,Brasil
153,Anthony Gabriel Vargas,386.214.570-08,20,26/01/2005,"Parque Cavalcanti, 36
Vila São Geraldo
07695158 Carvalho / MG",Paraíba,Brasil
154,Mariah Peixoto,041.628.379-96,26,27/04/1999,"Sítio Luiz Miguel da Mata, 595
Conjunto Bonsucesso
67004200 da Conceição / SP",Rio Grande do Sul,Brasil
155,Luiz Miguel Rodrigues,479.028.513-88,39,31/12/1985,"Avenida Moreira, 22
Gameleira
36668-497 Duarte de Moura / MS",Roraima,Brasil
156,Liz Mendes,149.583.672-09,54,20/06/1971,"Viela Stella Caldeira, 142
Aparecida
62675536 da Mota / MT",Pará,Brasil
157,Heitor Cunha,428.703.961-04,25,29/02/2000,"Avenida de Brito, 37
São Salvador
34386078 Farias de Cirino / MG",Pernambuco,Brasil
158,Ana Beatriz Brito,295.180.647-76,48,03/09/1977,"Trevo de Aragão
Conjunto Novo Dom Bosco
29220-767 Cirino / MT",Santa Catarina,Brasil
159,Otávio Macedo,380.941.526-05,34,16/08/1991,"Fazenda de Machado, 32
Flamengo
36634-488 Gonçalves / GO",Paraíba,Brasil
160,Enrico Dias,762.548.931-00,34,27/12/1990,"Travessa Sophie Mendonça, 360
São Marcos
23102-781 da Conceição / AM",Rio Grande do Norte,Brasil
161,Maria Júlia Pastor,816.234.795-09,23,08/07/2002,"Avenida José Miguel Albuquerque, 5
Horto Florestal
66235-856 Cirino de Goiás / PI",Maranhão,Brasil
162,Luiz Henrique da Rosa,796.541.203-99,59,24/11/1965,"Jardim Novaes, 36
Conjunto Jardim Filadélfia
45113-286 Mendonça / PB",Rondônia,Brasil
163,Caleb Carvalho,732.095.684-56,34,16/02/1991,"Conjunto Pedro Lucas Santos, 79
Caiçara - Adelaide
79516-169 Ramos de Moraes / PE",Maranhão,Brasil
164,Ryan Vasconcelos,153.204.897-14,53,08/07/1972,"Estrada Aragão, 973
Alta Tensão 2ª Seção
59490578 Siqueira / AP",Paraná,Brasil
165,Clarice Nogueira,792.061.348-50,24,22/07/2001,"Praça Silva, 38
Vila Maloca
16931586 Viana Verde / PE",Santa Catarina,Brasil
166,Dr. Benicio Pinto,374.068.921-87,18,14/05/2007,"Praia Sampaio, 848
Vila Antena
00928-759 Leão / SP",Sergipe,Brasil
167,Maria Cecília Garcia,982.035.647-47,31,19/10/1994,"Estação Heloisa Abreu, 26
Vila Aeroporto Jaraguá
53188-722 Rios / AM",Tocantins,Brasil
168,Heloísa Lopes,215.789.306-77,53,08/08/1972,"Conjunto Léo Moreira, 979
Vila Engenho Nogueira
40712-188 Monteiro do Norte / PI",Amapá,Brasil
169,Valentim Farias,086.391.425-05,27,28/01/1998,"Trevo de Pacheco, 996
Granja De Freitas
39352-259 Lopes Paulista / AL",Paraná,Brasil
170,Igor da Mata,431.875.206-26,44,29/07/1981,"Quadra Helena da Mota, 13
São Damião
73968-978 Nogueira / TO",Rio de Janeiro,Brasil
171,Kevin Ramos,769.834.510-66,47,20/03/1978,"Alameda Cardoso, 47
Alípio De Melo
62795541 Silveira / RS",Rondônia,Brasil
172,Luan Cunha,914.056.382-06,26,16/04/1999,"Vale Abreu, 50
Vale Do Jatoba
68113-700 Rocha / RO",Sergipe,Brasil
173,Maria Isis Duarte,347.021.685-17,47,07/12/1977,"Chácara de da Cunha, 260
Cdi Jatoba
19989778 Lopes / AL",Goiás,Brasil
